# Formato:
# Q|Pregunta|Respuesta correcta|Alternativa 1|Alternativa 2|Alternativa 3|Dato extra opcional

Q|[F] ¿Qué científico propuso la teoría de la relatividad?|Albert Einstein|Isaac Newton|Nikola Tesla|Niels Bohr|Albert Einstein trabajaba en una oficina de patentes cuando desarrolló sus ideas más revolucionarias.
Q|[F] ¿Qué planeta es conocido como el planeta rojo?|Marte|Venus|Júpiter|Mercurio|El color rojizo de Marte proviene del óxido de hierro, similar al óxido en el metal.
Q|[F] ¿Qué unidad mide la intensidad de corriente eléctrica?|Amperio|Voltio|Ohmio|Vatio|La unidad debe su nombre a André-Marie Ampère, pionero del electromagnetismo.
Q|[M] ¿Qué organelo celular contiene el material genético en células eucariotas?|Núcleo|Mitocondria|Ribosoma|Aparato de Golgi|Si estiráramos el ADN de una célula, mediría cerca de 2 metros.
Q|[F] ¿Qué gas es más abundante en la atmósfera terrestre?|Nitrógeno|Oxígeno|Dióxido de carbono|Argón|Aunque es abundante, el nitrógeno es poco reactivo para la mayoría de los seres vivos.
Q|[F] ¿Qué científica desarrolló investigaciones clave sobre la radiactividad?|Marie Curie|Rosalind Franklin|Ada Lovelace|Jane Goodall|Marie Curie es la única persona con premios Nobel en dos ciencias distintas.
Q|[F] ¿Qué rama de la biología estudia los genes y la herencia?|Genética|Ecología|Botánica|Zoología|Los experimentos de Mendel fueron ignorados por décadas antes de ser reconocidos.
Q|[F] ¿Qué instrumento se usa para observar células?|Microscopio|Telescopio|Barómetro|Sismógrafo|Algunos microscopios modernos pueden ver estructuras a nivel molecular.
Q|[F] ¿Qué tipo de energía aprovechan los paneles solares?|Energía solar|Energía eólica|Energía geotérmica|Energía hidráulica|Los paneles solares siguen funcionando incluso en días nublados, aunque con menor eficiencia.
Q|[F] ¿Qué elemento químico tiene símbolo O?|Oxígeno|Oro|Osmio|Oganesón|El oxígeno es el tercer elemento más abundante del universo.
Q|[F] ¿Qué proceso transforma agua líquida en vapor?|Evaporación|Condensación|Solidificación|Sublimación|La evaporación puede ocurrir incluso a temperatura ambiente.
Q|[M] ¿Qué científico formuló las leyes del movimiento clásico?|Isaac Newton|Galileo Galilei|Johannes Kepler|Michael Faraday|Isaac Newton desarrolló el cálculo en paralelo con Leibniz.
Q|[F] ¿Qué partícula tiene carga eléctrica negativa?|Electrón|Protón|Neutrón|Positrón|El descubrimiento del electrón permitió entender la estructura del átomo.
Q|[M] ¿Qué capa de la atmósfera contiene la mayor parte del ozono?|Estratósfera|Troposfera|Mesosfera|Termosfera|Sin la capa de ozono, la vida en la superficie sería muy difícil.
Q|[M] ¿Qué tipo de enlace comparten átomos para completar su capa de valencia?|Enlace covalente|Enlace iónico|Enlace metálico|Puente de hidrógeno|El enlace covalente es el tipo de enlace presente en moléculas orgánicas.
Q|[F] ¿Qué científico propuso la teoría de la evolución por selección natural?|Charles Darwin|Gregor Mendel|Louis Pasteur|Alfred Wegener|Charles Darwin tardó más de 20 años en publicar su teoría.
Q|[F] ¿Qué instrumento mide la presión atmosférica?|Barómetro|Termómetro|Anemómetro|Higrómetro|La invención del barómetro permitió predecir cambios climáticos.
Q|[F] ¿Qué nombre recibe el cambio de sólido a gas sin pasar por líquido?|Sublimación|Evaporación|Condensación|Fusión|Un ejemplo común es el hielo seco, que se convierte en gas sin derretirse.
Q|[F] ¿Qué planeta tiene los anillos más notorios del sistema solar?|Saturno|Urano|Neptuno|Júpiter|Los anillos de Saturno están formados principalmente por hielo y roca.
Q|[M] ¿Qué molécula transporta la información genética en la mayoría de los seres vivos?|ADN|ARN|ATP|NADH|El ADN contiene las instrucciones para construir y mantener un organismo.
Q|[M] ¿Qué ley establece que la energía no se crea ni se destruye?|Primera ley de la termodinámica|Ley de gravitación universal|Ley de Boyle|Ley de Ohm|La primera ley de la termodinámica es fundamental en todas las áreas de la física.
Q|[F] ¿Qué unidad se utiliza para medir la resistencia eléctrica?|Ohmio|Amperio|Voltio|Julio|El ohmio fue nombrado en honor a Georg Ohm.
Q|[F] ¿Qué órgano del cuerpo humano se encarga de bombear sangre?|Corazón|Pulmón|Hígado|Riñón|El corazón late más de 100.000 veces al día.
Q|[F] ¿Qué rama de la ciencia estudia los fósiles?|Paleontología|Meteorología|Oceanografía|Embriología|La paleontología ha permitido descubrir especies extintas como los dinosaurios.
Q|[F] ¿Qué planeta es el más grande del sistema solar?|Júpiter|Saturno|Neptuno|Urano|Júpiter tiene más masa que todos los demás planetas juntos.
Q|[F] ¿Qué órgano produce la insulina en el cuerpo humano?|Páncreas|Hígado|Riñón|Bazo|Un mal funcionamiento del páncreas puede provocar diabetes.
