# Formato:
# Q|Pregunta|Respuesta correcta|Alternativa 1|Alternativa 2|Alternativa 3|Dato extra opcional

Q|¿Quién pintó la obra La noche estrellada?|Vincent van Gogh|Pablo Picasso|Claude Monet|Salvador Dalí|Vincent van Gogh la pintó desde la ventana de un sanatorio en Saint-Rémy.
Q|¿Qué movimiento artístico se asocia con Claude Monet?|Impresionismo|Surrealismo|Cubismo|Barroco|El término impresionismo surgió a partir de una crítica a una de sus obras.
Q|¿Quién esculpió El pensador?|Auguste Rodin|Miguel Ángel|Donatello|Gian Lorenzo Bernini|Originalmente la escultura formaba parte de La puerta del infierno.
Q|¿Qué artista es famoso por la técnica del cubismo junto a Braque?|Pablo Picasso|Paul Cézanne|Henri Matisse|Edvard Munch|El cubismo rompió con la perspectiva tradicional en la pintura.
Q|¿Qué obra fue pintada por Leonardo da Vinci?|La Gioconda|La joven de la perla|El grito|Las meninas|La Gioconda está expuesta en el Museo del Louvre.
Q|¿Qué pintor es autor de Las meninas?|Diego Velázquez|Francisco de Goya|El Greco|Joaquín Sorolla|La obra incluye un autorretrato del propio pintor.
Q|¿Qué estilo caracteriza a Salvador Dalí?|Surrealismo|Realismo|Neoclasicismo|Futurismo|El surrealismo explora el mundo de los sueños y el subconsciente.
Q|¿Quién pintó El grito?|Edvard Munch|Gustav Klimt|Paul Gauguin|Wassily Kandinsky|Edvard Munch se inspiró en una crisis de ansiedad del autor.
Q|¿Qué arquitecto diseñó gran parte de la Sagrada Familia?|Antoni Gaudí|Le Corbusier|Frank Lloyd Wright|Mies van der Rohe|La obra sigue en construcción más de un siglo después de iniciada.
Q|¿Qué artista mexicana es conocida por sus autorretratos?|Frida Kahlo|Remedios Varo|Leonora Carrington|María Izquierdo|Frida Kahlo usó su imagen para expresar dolor físico y emocional.
Q|¿Qué obra pertenece a Miguel Ángel?|La piedad|El nacimiento de Venus|La libertad guiando al pueblo|El beso|Miguel Ángel esculpió La piedad cuando tenía poco más de 20 años.
Q|¿Qué movimiento impulsó Andy Warhol?|Pop Art|Romanticismo|Expresionismo|Rococó|Andy Warhol elevó objetos cotidianos a categoría artística.
Q|¿Quién pintó La joven de la perla?|Johannes Vermeer|Rembrandt|Peter Paul Rubens|Jan van Eyck|La obra es conocida como la “Mona Lisa del norte”.
Q|¿Quién pintó Guernica?|Pablo Picasso|Salvador Dalí|Joan Miró|Francisco de Goya|Guernica es un alegato contra la guerra y la violencia.
Q|¿Qué artista pintó La persistencia de la memoria?|Salvador Dalí|René Magritte|Max Ernst|Joan Miró|Sus relojes blandos desafían la noción del tiempo.
Q|¿Quién es autor de La creación de Adán en la Capilla Sixtina?|Miguel Ángel|Rafael|Caravaggio|Tintoretto|La pintura forma parte del techo encargado por el Papa Julio II.
Q|¿Qué artista es reconocido por sus móviles escultóricos?|Alexander Calder|Constantin Brancusi|Henry Moore|Alberto Giacometti|Alexander Calder introdujo el movimiento real en la escultura.
