# Formato:
# Q|Pregunta|Respuesta correcta|Alternativa 1|Alternativa 2|Alternativa 3|Dato extra opcional
Q|¿Quién es el vocalista principal de la banda Rammstein?|Till Lindemann|Corey Taylor|James Hetfield|Serj Tankian|Till Lindemann también es poeta y ha publicado libros.
Q|¿Qué banda interpreta la canción "Chop Suey!"?|System of a Down|Slipknot|Korn|Deftones|"Chop Suey!" fue lanzada en 2001 y se volvió un himno del metal alternativo.
Q|¿Qué banda lanzó el álbum "Master of Puppets"?|Metallica|Megadeth|Slayer|Anthrax|"Master of Puppets" es considerado uno de los mejores álbumes de metal de la historia.
Q|¿Quién es el líder de Megadeth?|Dave Mustaine|James Hetfield|Kirk Hammett|Tom Araya|Mustaine fue originalmente guitarrista de Metallica.
Q|¿De qué país es la banda Gojira?|Francia|Estados Unidos|Suecia|Alemania|Sus letras suelen tratar temas ambientales.
Q|¿Qué banda compuso "Stairway to Heaven"?|Led Zeppelin|Queen|Pink Floyd|The Who|"Stairway to Heaven" es una de las canciones más icónicas del rock.
Q|¿Qué banda es parte de los "Big Four" del thrash metal?|Anthrax|Pantera|Judas Priest|Motorhead|Los otros tres son Metallica, Megadeth y Slayer.
Q|¿Qué banda es conocida por su estilo progresivo y álbumes conceptuales como "Blackwater Park"?|Opeth|Dream Theater|Porcupine Tree|Tool|Opeth mezcla death metal con rock progresivo.
Q|¿Qué banda lanzó el álbum "Images and Words"?|Dream Theater|Rush|Genesis|Yes|Incluye el tema "Pull Me Under".
Q|¿Qué cantante interpretó "Vivir así es morir de amor"?|Camilo Sesto|José José|Raphael|Nino Bravo|"Vivir así es morir de amor" es un clásico de la balada en español.
Q|¿Quién es conocido como "El Príncipe de la Canción"?|José José|Luis Miguel|Camilo Sesto|Juan Gabriel|Es una de las voces más reconocidas de Latinoamérica.
Q|¿Qué artista fue líder de The Police?|Sting|Phil Collins|Freddie Mercury|Elton John|También tiene una exitosa carrera solista.
Q|¿Qué banda interpretó "Every Breath You Take"?|The Police|U2|Queen|Dire Straits|"Every Breath You Take" es una de las canciones más reproducidas de la historia.
Q|¿Qué cantante es conocido por "Rebel Yell"?|Billy Idol|David Bowie|Prince|Mick Jagger|Su estilo mezcla punk y rock.
Q|¿Qué banda lideró Lemmy Kilmister?|Motörhead|Black Sabbath|Judas Priest|Deep Purple|Lemmy es un ícono del rock pesado.
Q|¿Qué banda interpretó "Bohemian Rhapsody"?|Queen|The Beatles|Pink Floyd|Led Zeppelin|"Bohemian Rhapsody" no tiene un coro tradicional.
Q|¿Quién es conocido como el "Rey del Pop"?|Michael Jackson|Prince|Elvis Presley|Justin Timberlake|Ganó múltiples premios Grammy.
Q|¿Qué banda canta "Wind of Change"?|Scorpions|Bon Jovi|Europe|Aerosmith|"Wind of Change" se convirtió en símbolo del fin de la Guerra Fría.
Q|¿Qué banda lanzó "Sweet Child O' Mine"?|Guns N' Roses|Aerosmith|Bon Jovi|Nirvana|El riff inicial de "Sweet Child O' Mine" es uno de los más famosos del rock.
Q|¿Qué banda interpreta "Just Like Heaven"?|The Cure|Depeche Mode|The Smiths|New Order|"Just Like Heaven" es un clásico del rock alternativo.
